Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,200,5,4,7,10,42,3,42,0.00%,104.8,24.0,6.34
TOTAL,200,5,4,7,10,42,3,42,0.00%,104.8,24.0,6.34
