Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,200,5,5,6,7,8,3,35,0.00%,33.8,7.7,3.20
TOTAL,200,5,5,6,7,8,3,35,0.00%,33.8,7.7,3.20
