Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,200,5,5,7,7,26,3,33,0.00%,50.9,11.6,3.36
TOTAL,200,5,5,7,7,26,3,33,0.00%,50.9,11.6,3.36
