Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,200,4,4,7,7,10,3,28,0.00%,20.1,4.6,2.23
TOTAL,200,4,4,7,7,10,3,28,0.00%,20.1,4.6,2.23
