timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713560788216,413,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560788216,14417,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560789217,651,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560789217,14417,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560790218,1097,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560790218,14424,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560791218,851,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560791219,14430,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560792219,701,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560792219,14445,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560793219,501,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560793220,14447,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560794220,849,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560794220,14449,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560795220,550,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560795220,14450,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
1713560796221,850,172.25.0.2 CPU,,,,,true,,0,0,0,0,null,0,0,0
1713560796221,14443,172.25.0.2 Memory,,,,,true,,0,0,0,0,null,0,0,0
